Kryptonite,3 Doors Down
Why Don't We Just Dance,Josh Turner
A Little More Country Than That,Easton Corbin
Southern Voice,Tim McGraw
All About Tonight,Blake Shelton
Temporary Home,Carrie Underwood
Somebody That I Used to Know (feat. Kimbra),Gotye
The Lazy Song,Bruno Mars
We R Who We R,Kesha
How To Love,Lil Wayne
Stereo Hearts (feat. Adam Levine),Gym Class Heroes
Love You Like a Love Song,Selena Gomez & The Scene
Tonight Tonight,Hot Chelle Rae
Lighters (feat. Bruno Mars),Bad Meets Evil
The Time (Dirty Bit),Black Eyed Peas
Not Over You,Gavin DeGraw
Work Out,J. Cole
The a Team,Ed Sheeran
The Motto (feat. Lil Wayne) [Bonus Track],Drake
Scar Tissue,Red Hot Chili Peppers
Higher,Creed
Meet Virginia,Train
Mambo No. 5 (a Little Bit of...),Lou Bega
Love Drunk,BOYS LIKE GIRLS
The Great Escape,BOYS LIKE GIRLS
The Take Over, The Breaks Over,Fall Out Boy
Gettin' You Home,Chris Young
Breakeven (Falling to Pieces),The Script
The Truth,Jason Aldean
You and Me,Lifehouse
Lovin' You Is Fun,Easton Corbin
Fergalicious (feat. will.i.am),Fergie
No One,Alicia Keys
Right Round (feat. Ke$ha),Flo Rida
Country Grammar (Hot Shit),Nelly
Dangerous (feat. Akon) [feat. Akon],Kardinal Offishall
Boulevard of Broken Dreams,Green Day
TiK ToK,Kesha
Harder Better Faster Stronger,Daft Punk
The Way I Are (feat. Keri Hilson & D.O.E.),Timbaland
Bulletproof,La Roux
Disturbia,Rihanna
One More Time,Daft Punk
Don't Cha,The Pussycat Dolls & Busta Rhymes
Sexy Bitch (feat. Akon),David Guetta
Pon de Replay,Rihanna
Give Me Everything (feat. Ne-Yo, Afrojack & Nayer),Pitbull
Hotel Room Service,Pitbull
International Love (feat. Chris Brown),Pitbull
Hey Baby (Drop It to the Floor) [feat. T-Pain],Pitbull
Feel This Moment (feat. Christina Aguilera),Pitbull
Temperature,Sean Paul
Day 'n' Nite (Crookers Remix),Kid Cudi
Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott featuring Ciara & Fat Man Scoop
Say It Right,Nelly Furtado
Around the World (La La La La La) [Radio Version],A Touch of Class
Good Girls Go Bad (feat. Leighton Meester),Cobra Starship
Pump It,Black Eyed Peas
Better Off Alone,Alice Deejay
So What,P!nk
Umbrella (feat. JAY Z),Rihanna
The Way You Move (Radio Mix) [feat. Sleepy Brown],Outkast
If I Ain't Got You,Alicia Keys
How You Remind Me,Nickelback
Steady, As She Goes,The Raconteurs
All My Life,Foo Fighters
Ain't No Rest for the Wicked,Cage the Elephant
Family Affair,Mary J. Blige
The Anthem (feat. Lil Jon),Pitbull
Duality,Slipknot
With Arms Wide Open,Creed
Rollin' (Air Raid Vehicle),Limp Bizkit
Fake It,Seether
Californication,Red Hot Chili Peppers
Drive,Incubus
Scars,Papa Roach
Click Click Boom,Saliva
Blurry,Puddle of Mudd
Sound of Madness,Shinedown
Numb,LINKIN PARK
B.Y.O.B.,System Of A Down
One Step Closer,LINKIN PARK
Somewhere I Belong,LINKIN PARK
Psychosocial,Slipknot
Dani California,Red Hot Chili Peppers
Clocks,Coldplay
Breathe,Faith Hill
Party Up,DMX
Hey Baby (feat. Bounty Killer),No Doubt
When I Was Your Man,Bruno Mars
Best Love Song (feat. Chris Brown),T-Pain
Treasure,Bruno Mars
Don't You Worry Child (Radio Edit) [feat. John Martin],Swedish House Mafia
I Want It That Way,Backstreet Boys
Smack That (feat. Eminem),Akon
Don't Matter,Akon
Mr. Saxobeat,Alexandra Stan
Wake Me Up,Avicii
Hey Brother,Avicii
Sk8er Boi,Avril Lavigne
What the Hell,Avril Lavigne
Magic (feat. Rivers Cuomo),B.o.B
Black Chandelier,Biffy Clyro
Dance (A$$) [Remix] [feat. Nicki Minaj],Big Sean
Pretty Good at Drinkin' Beer,Billy Currington
People Are Crazy,Billy Currington
My Humps,Black Eyed Peas
1985,Bowling for Soup
Almost,Bowling for Soup
Girl All the Bad Guys Want,Bowling for Soup
High School Never Ends,Bowling for Soup
Just the Way You Are,Bruno Mars
Runaway Baby,Bruno Mars
Marry You,Bruno Mars
Count On Me,Bruno Mars
Locked Out of Heaven,Bruno Mars
Let Me Take You Out (feat. Travis Porter),Bryan J & Travis Porter
Feel So Close (Radio Edit),Calvin Harris
Hey Ma (feat. Juelz Santana, Freekey Zekey & Toya),Cam'ron
Safe and Sound,Capital Cities
Everytime We Touch (Radio Edit),Cascada
Run It! (feat. Juelz Santana),Chris Brown
Yo (Excuse Me Miss),Chris Brown
Look At Me Now (feat. Lil Wayne & Busta Rhymes),Chris Brown
Yeah 3X,Chris Brown
The Scientist,Coldplay
Get Like Me (feat. Chris Brown & Yung Joc),David Banner
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta
Turn Me On (feat. Nicki Minaj),David Guetta
Without You (feat. Usher),David Guetta
Titanium (feat. Sia),David Guetta
In the Dark,Dev
Calabria 2008 (feat. Natasja),Enur
Calabria 2008 (feat. Natasja),Enur
Dance, Dance,Fall Out Boy
Sugar, We're Goin Down,Fall Out Boy
Thnks Fr Th Mmrs,Fall Out Boy
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy
Like a G6,Far East Movement, The Cataracs & Dev
Rocketeer (feat. Ryan Tedder),Far East Movement & Ryan Tedder
Club Can't Handle Me (feat. David Guetta) [From "Step Up 3D"],Flo Rida
Where'd You Go (feat. Holly Brook & Jonah Matranga),Fort Minor
Remember the Name (feat. Styles of Beyond),Fort Minor
Stacy's Mom,Fountains Of Wayne
Some Nights,Fun.
We Are Young (feat. Janelle Monáe),Fun.
Hate It Or Love It (feat. 50 Cent),The Game
Feel Good Inc.,Gorillaz
Lifestyles of the Rich & Famous,Good Charlotte
Tongue Tied,GROUPLOVE
The Sweet Escape (feat. Akon),Gwen Stefani
Fame Is for Assholes (feat. Chiddy),Hoodie Allen
Honestly,Hot Chelle Rae
I Like It Like That (feat. New Boyz),Hot Chelle Rae
Replay,Iyaz
Pretty Girls (feat. Travie McCoy),Iyaz
Solo,Iyaz
I Love College,Asher Roth
Banana Pancakes,Jack Johnson
Good People,Jack Johnson
Upside Down,Jack Johnson
It Girl,Jason Derulo
Ni**as in Paris,JAY-Z & Kanye West
Run This Town (feat. Rihanna & Kanye West),JAY-Z
Empire State of Mind (feat. Alicia Keys),JAY-Z
Young Forever (feat. Mr Hudson),JAY-Z
Down (feat. Lil Wayne),Jay Sean
Beautiful Soul,Jesse McCartney
Beauty and a Beat (feat. Nicki Minaj),Justin Bieber
Boyfriend,Justin Bieber
SexyBack (feat. Timbaland),Justin Timberlake
Teenage Dream,Katy Perry
Last Friday Night (T.G.I.F.),Katy Perry
California Gurls (feat. Snoop Dogg),Katy Perry
Firework,Katy Perry
The One That Got Away,Katy Perry
Poetic Justice (feat. Drake),Kendrick Lamar
Swimming Pools (Drank),Kendrick Lamar
Pretty Girl Rock,Keri Hilson
Just Another Girl,The Killers
Runaways,The Killers
All These Things That I've Done,The Killers
When You Were Young,The Killers
Alive,Krewella
Just Dance (feat. Colby O'Donis),Lady Gaga
Poker Face,Lady Gaga
Paparazzi,Lady Gaga
Shots (feat. LMFAO),Lil Jon
My Own Worst Enemy,Lit
Angel Eyes,Love and Theft
Roller Coaster,Luke Bryan
Crash My Party,Luke Bryan
That's My Kind of Night,Luke Bryan
Play It Again,Luke Bryan
White Walls (feat. ScHoolboy Q & Hollis),Hollis, Macklemore & Ryan Lewis, Macklemore & Ryan Lewis
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis
I Try,Macy Gray
#Beautiful (feat. Miguel),Mariah Carey
Valerie (feat. Amy Winehouse),Mark Ronson featuring Amy Winehouse
Misery,Maroon 5
Moves Like Jagger (feat. Christina Aguilera),Maroon 5
Payphone (feat. Wiz Khalifa),Maroon 5
Daylight,Maroon 5
Love Somebody,Maroon 5
This Love,Maroon 5
She Will Be Loved,Maroon 5
Sunday Morning,Maroon 5
How Far We've Come,Matchbox Twenty
Unwell,Matchbox Twenty
She's So Mean,Matchbox Twenty
Dreams and Nightmares,Meek Mill
Shake It,Metro Station
Crazy Love,Michael Bublé
Say Hey (I Love You) (feat. Cherine Tanya Anderson),Michael Franti & Spearhead
Please Don't Go,Mike Posner
Bow Chicka Wow Wow (feat. Lil Wayne),Mike Posner
Party In the U.S.A.,Miley Cyrus
See You Again,Miley Cyrus
Lady (Hear Me Tonight),Modjo
Welcome to the Black Parade,My Chemical Romance
Teenagers,My Chemical Romance
Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance
Let Me Love You (Until You Learn to Love Yourself),Ne-Yo
Sweater Weather,The Neighbourhood
Hot In Herre,Nelly
Just a Dream,Nelly
Promiscuous (feat. Timbaland),Nelly Furtado & Timbaland
Everybody Talks,Neon Trees
Animals,Nickelback
Gangnam Style,PSY
Far Away,Nickelback
Rockstar,Nickelback
Photograph,Nickelback
Super Bass,Nicki Minaj
Starships,Nicki Minaj
Got Your Money (feat. Kelis),Ol' Dirty Bastard
Stop and Stare,OneRepublic
Apologize,OneRepublic
Counting Stars,OneRepublic
If I Lose Myself,OneRepublic
Feel Again,OneRepublic
I Lived,OneRepublic
All the Right Moves,OneRepublic
Secrets,OneRepublic
Good Life,OneRepublic
I'll Drink to That,Outasight
Tonight Is the Night,Outasight
Now or Never,Outasight
Good Time,Owl City & Carly Rae Jepsen
Raise Your Glass,P!nk
Nine In the Afternoon,Panic! At the Disco
This Is Gospel,Panic! At the Disco
1901,Phoenix
Back in Time (featured in "Men In Black 3"),Pitbull
Don't Stop the Party (feat. TJR),Pitbull
Timber,Pitbull & Kesha
Shake Senora (feat. T-Pain & Sean Paul),Pitbull
Our Time Now,Plain White T's
Hey There Delilah,Plain White T's
Rhythm of Love,Plain White T's
Ignition (Remix),R. Kelly
My Wish,Rascal Flatts
Sexy Can I (feat. Yung Berg),Ray J
Hell Yeah,Rev Theory
S&M,Rihanna
What's My Name? (feat. Drake),Rihanna
Cheers (Drink to That),Rihanna
Rude Boy,Rihanna
Blurred Lines (feat. T.I. & Pharrell),Robin Thicke
Cleaning This Gun (Come on In Boy),Rodney Atkins
If You're Going Through Hell (Before the Devil Even Knows),Rodney Atkins
Farmer's Daughter,Rodney Atkins
Watching You,Rodney Atkins
Freaks,The Royal
The Man Who Can't Be Moved,The Script
Hall of Fame (feat. will.i.am),The Script
Dumb Love,Sean Kingston
Fire Burning,Sean Kingston
Letting Go (Dutty Love) [feat. Nicki Minaj],Sean Kingston
Party All Night (Sleep All Day),Sean Kingston
Me Love,Sean Kingston
Eenie Meenie,Sean Kingston & Justin Bieber
Get Busy,Sean Paul
Angel (feat. Rayvon),Shaggy
Second Chance,Shinedown
I'm Just a Kid,Simple Plan
Dreaming (The Chainsmokers Remix),Smallpools
Rhythm Is a Dancer (Original Mix),Snap!
Young, Wild & Free (feat. Bruno Mars),Snoop Dogg & Wiz Khalifa
Chasing Cars,Snow Patrol
All These Roads (feat. Zella Day & Sam Martin),Sultan & Ned Shepard
When It's Over (David Kahne Main Album Version),Sugar Ray
Boomerang,The Summer Set
Save the World (Radio Mix),Swedish House Mafia
Buy U a Drank (Shawty Snappin') [feat. Yung Joc],T-Pain
Best Love Song (feat. Chris Brown),T-Pain
Higher,Taio Cruz
Love Story,Taylor Swift
You Belong With Me,Taylor Swift
Mean,Taylor Swift
The Story of Us (US Version),Taylor Swift
Our Song,Taylor Swift
Written In the Stars (feat. Eric Turner),Tinie Tempah
867-5309 / Jenny,Tommy Tutone
Drive By,Train
Hey, Soul Sister,Train
Bottoms Up (feat. Nicki Minaj),Trey Songz
Wobble,V.I.C.
Worship You,Vampire Weekend
Campus,Vampire Weekend
A Thousand Miles,Vanessa Carlton
Riptide,Vance Joy
Gold Digger (feat. Jamie Foxx),Kanye West
Candy Shop (feat. Olivia),50 Cent
Ride Wit Me (feat. City Spud),Nelly
X Gon' Give It To Ya,DMX
Volcanology,Brooklyn
I Gotta Feeling,Black Eyed Peas
Come On Get Higher,Matt Nathanson
Rappers Delight,The Sugarhill Gang
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame
Chasing The Sun (2021 Master),The Wanted
Say You Like Me,We the Kings
Black and Yellow,Wiz Khalifa
Cough Syrup,Young the Giant
Clarity (feat. Foxes),Zedd
Stay the Night (feat. Hayley Williams),Zedd
My First Kiss (feat. Ke$ha),3OH!3
Mercy (feat. Big Sean, Pusha T & 2 Chainz),Kanye West
Work It,Missy Elliott
Don't,Billy Currington
Ain't It Fun,Paramore
Ass Back Home (feat. Neon Hitch),Gym Class Heroes
Crank That (Soulja Boy),Soulja Boy Tell 'Em
Whatever You Like,T.I.
Live Your Life (feat. Rihanna),T.I.
Fireflies,Owl City
Whistle,Flo Rida
Wild Ones (feat. Sia),Flo Rida
Dead and Gone (feat. Justin Timberlake),T.I.
Forever (Main Version),Chris Brown
Classic,MKTO
I Wanna Go,Britney Spears
More (RedOne Jimmy Joker Remix),USHER
The Fighter (feat. Ryan Tedder),Gym Class Heroes
3,Britney Spears
You Make Me Feel... (feat. Sabi),Cobra Starship
Don't Wanna Go Home,Jason Derulo
Better With the Lights Off (feat. Chris Brown),New Boyz
Blow,Kesha
Scream & Shout (feat. Britney Spears),will.i.am
Let's Go (feat. Ne-Yo),Calvin Harris
Chasing the Sun,The Wanted
Here's to Never Growing Up,Avril Lavigne
Troublemaker (feat. Flo Rida),Olly Murs
Keep Your Head Up,Andy Grammer
Pour It Up,Rihanna
Super Bass,Nicki Minaj
Fly (feat. Rihanna),Nicki Minaj & Rihanna
Pound the Alarm,Nicki Minaj
Starships,Nicki Minaj
Teach Me How to Dougie,Cali Swag District
Suit & Tie (feat. JAY-Z),Justin Timberlake
Party Rock Anthem (feat. Lauren Bennett & GoonRock),LMFAO
Sexy and I Know It,LMFAO
Love More (feat. Nicki Minaj),Chris Brown
Loyal (feat. Lil Wayne & Tyga),Chris Brown
Tipsy (Club Mix),J-Kwon
Rack City,Tyga
Hollaback Girl,Gwen Stefani
Drop It Like It's Hot,Pharrell Williams & Snoop Dogg
Glad You Came,The Wanted
On the Floor (feat. Pitbull),Jennifer Lopez
Get Lucky,Daft Punk, Pharrell Williams & Nile Rodgers
Pompeii,Bastille
Ho Hey,The Lumineers
The Other Side,Jason Derulo
Come & Get It,Selena Gomez
Stronger,Kanye West
Day 'N' Nite (nightmare),Kid Cudi
Good Feeling,Flo Rida
Let's Get It Started,Black Eyed Peas
Move Your Feet,Junior Senior
Love Runs Out,OneRepublic
Cupid Shuffle,Cupid
Cha Cha Slide ((Original Live Platinum Band Mix) Short Version),DJ Casper
Paradise,Coldplay
Ayy Ladies (feat. Tyga),Travis Porter
BedRock (feat. Lloyd),Young Money
You Be Killin Em,Fabolous
No Faith in Brooklyn (feat. Jhameel),Hoodie Allen
Absolutely (Story of a Girl),Nine Days
Back Down,50 Cent
Bawitdaba,Kid Rock
Brain Stew,Green Day
Girl's Not Grey,AFI
Fast & Slow,The All-American Rejects
American Idiot,Green Day
Miss Atomic Bomb,The Killers
Whatever,Hot Chelle Rae
Without Me,Eminem
Love the Way You Lie (feat. Rihanna),Eminem
Forever,Drake, Kanye West, Lil Wayne & Eminem
Not Afraid,Eminem
I Need a Doctor (feat. Eminem & Skylar Grey),Dr. Dre
Lighters (feat. Bruno Mars),Bad Meets Evil
No Love (feat. Lil Wayne),Eminem
Womanizer,Britney Spears
Soak Up the Sun,Sheryl Crow
Can't Stop,Red Hot Chili Peppers
It Will Rain,Bruno Mars
